Profile steps 100-102, LUMEN_PREFER_HIPBLASLT=1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aiter::hipb_mm         1.57%     193.550ms         5.32%     657.465ms     175.464us        7.480s        59.76%        7.480s       1.996ms          3747  
Cijk_Ailk_Bljk_F8B8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs...         0.00%       0.000us         0.00%       0.000us       0.000us        2.386s        19.07%        2.386s       3.301ms           723  
Cijk_Alik_Bljk_F8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs_M...         0.00%       0.000us         0.00%       0.000us       0.000us        2.173s        17.36%        2.173s       7.170ms           303  
                                     aiter::fmha_v3_bwd         0.07%       8.543ms         6.23%     770.392ms       3.210ms        1.785s        14.26%        1.823s       7.598ms           240  
aiter::fmha_bwd_hd128_bf16_causal_br_a32_rtna_psskdd...         0.00%       0.000us         0.00%       0.000us       0.000us        1.674s        13.38%        1.674s       6.977ms           240  
Cijk_Alik_Bljk_F8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs_M...         0.00%       0.000us         0.00%       0.000us       0.000us        1.231s         9.84%        1.231s       4.064ms           303  
Cijk_Ailk_Bljk_F8B8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs...         0.00%       0.000us         0.00%       0.000us       0.000us     879.903ms         7.03%     879.903ms       3.666ms           240  
                                     aiter::fmha_v3_fwd         0.07%       8.341ms         0.11%      13.837ms      45.668us     727.798ms         5.81%     727.798ms       2.402ms           303  
                 aiter::fmha_fwd_hd128_bf16_causal_rtna         0.00%       0.000us         0.00%       0.000us       0.000us     727.798ms         5.81%     727.798ms       2.402ms           303  
Cijk_Alik_Bljk_F8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs_M...         0.00%       0.000us         0.00%       0.000us       0.000us     398.321ms         3.18%     398.321ms       1.315ms           303  
                              _static_quant_amax_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     376.507ms         3.01%     376.507ms     141.491us          2661  
                                 _PatchedSwiGLUFunction         0.35%      42.939ms         0.53%      65.958ms     217.682us     337.930ms         2.70%     343.743ms       1.134ms           303  
Cijk_Alik_Bljk_F8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs_M...         0.00%       0.000us         0.00%       0.000us       0.000us     293.904ms         2.35%     293.904ms     969.979us           303  
                                     record_param_comms         0.19%      23.363ms        21.18%        2.617s       4.965ms     234.216ms         1.87%     234.222ms     444.444us           527  
void rcclGenericKernel<2, false>(ncclDevKernelArgsSt...         0.00%       0.000us         0.00%       0.000us       0.000us     233.575ms         1.87%     233.575ms     474.747us           492  
