-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                FP8StoredLinearFunction         0.84%     152.743ms        12.03%        2.199s       1.814ms       0.000us         0.00%        7.546s       6.226ms          1212
                                    aiter::gemm_a8w8_ck         0.24%      43.696ms         0.34%      62.657ms      34.408us        6.030s        33.05%        6.030s       3.311ms          1821
void ck::kernel_gemm_xdl_cshuffle_v3_multi_d<ck::Gri...         0.00%       0.000us         0.00%       0.000us       0.000us        5.921s        32.45%        5.921s       4.873ms          1215
autograd::engine::evaluate_function: CheckpointFunct...         0.01%       1.501ms        23.41%        4.278s      67.910ms       0.000us         0.00%        4.194s      66.568ms            63
                             CheckpointFunctionBackward         0.65%     119.342ms        23.40%        4.277s      67.886ms       0.000us         0.00%        4.194s      66.568ms            63
autograd::engine::evaluate_function: FP8StoredLinear...         0.07%      11.934ms        26.02%        4.755s       4.953ms       0.000us         0.00%        3.535s       3.682ms           960
                        FP8StoredLinearFunctionBackward         0.81%     147.766ms        25.92%        4.738s       4.935ms     264.673ms         1.45%        3.488s       3.634ms           960
                                         aiter::hipb_mm         0.60%     108.860ms         0.73%     133.831ms      69.486us        3.277s        17.96%        3.277s       1.701ms          1926
Cijk_Ailk_Bljk_F8B8NBS_BH_Bias_HA_S_SAB_SAV_UserArgs...         0.00%       0.000us         0.00%       0.000us       0.000us        2.373s        13.00%        2.373s       3.282ms           723
                                     CheckpointFunction         0.43%      79.126ms         5.95%        1.088s      17.269ms       0.000us         0.00%        2.081s      33.033ms            63
autograd::engine::evaluate_function: FlashAttnFuncBa...         0.02%       3.579ms         0.32%      57.977ms     241.570us       0.000us         0.00%        1.824s       7.600ms           240
                                  FlashAttnFuncBackward         0.06%      10.447ms         0.30%      54.398ms     226.657us       0.000us         0.00%        1.824s       7.600ms           240
                            aiter::_flash_attn_backward         0.04%       8.079ms         0.20%      36.985ms     154.104us       0.000us         0.00%        1.823s       7.594ms           240
                                     aiter::fmha_v3_bwd         0.05%       9.898ms         0.15%      26.554ms     110.640us        1.778s         9.75%        1.815s       7.563ms           240
aiter::fmha_bwd_hd128_bf16_causal_br_a32_rtna_psskdd...         0.00%       0.000us         0.00%       0.000us       0.000us        1.673s         9.17%        1.673s       6.972ms           240
autograd::engine::evaluate_function: _PatchedSwiGLUF...         0.01%       1.660ms         1.61%     293.920ms       1.225ms       0.000us         0.00%        1.632s       6.801ms           240
                         _PatchedSwiGLUFunctionBackward         0.36%      65.799ms         1.60%     292.260ms       1.218ms       0.000us         0.00%        1.632s       6.801ms           240
                                              aten::mul         0.47%      85.774ms         1.77%     322.632ms      15.764us        1.579s         8.65%        1.579s      77.154us         20466
