gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,libtype,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,3,6,368,544,96,3,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,96,3,1,1,1,114.5044,conv3d_implicit_t192x96_w3x1_g1,0.0,108.76,1405.8
gfx950,256,1,96,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,1,4,1,1,35.0057,conv3d_implicit_t128x192_w1x4_g1,0.0,474.34,832.99
gfx950,256,1,96,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,96,3,1,1,1,72.8344,conv3d_implicit_t192x96_w3x1_g1,0.0,455.96,1057.74
gfx950,256,1,96,6,184,272,192,3,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,295.0856,conv3d_implicit_t128x192_w2x2_g1,0.0,675.25,459.27
gfx950,256,1,96,6,368,544,96,3,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,96,3,1,1,1,618.7955,conv3d_implicit_t192x96_w3x1_g1,0.0,644.01,621.96
gfx950,256,1,192,1,92,136,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,2,4,1,37.1961,conv3d_implicit_t128x128_w2x2_g4,0.0,446.41,423.19
gfx950,256,1,192,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,1,4,1,1,54.6988,conv3d_implicit_t128x192_w1x4_g1,0.0,607.13,714.83
gfx950,256,1,192,6,184,272,192,3,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,96,96,1,3,8,1,565.8217,conv3d_implicit_t96x96_w1x3_g8,0.0,704.31,343.17
gfx950,256,1,384,1,92,136,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,2,8,1,63.2631,conv3d_implicit_t128x128_w2x2_g8,0.0,524.94,345.74
gfx950,256,1,384,4,92,136,384,3,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,192,128,2,2,8,1,320.6652,conv3d_implicit_t192x128_w2x2_g8,0.0,621.39,204.63
