N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias
1,3,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,3,6,368,544,96,3,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,1,368,544,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,6,184,272,192,3,3,3,1,1,1,0,1,1,1,1,1,1,True
1,96,6,368,544,96,3,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,92,136,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,1,184,272,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,4,92,136,384,3,3,3,1,1,1,0,1,1,1,1,1,1,True
1,192,6,184,272,192,3,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,46,68,32,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,46,68,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,1,92,136,384,1,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,3,46,68,32,3,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,3,46,68,384,3,3,3,1,1,1,0,1,1,1,1,1,1,True
1,384,4,92,136,384,3,3,3,1,1,1,0,1,1,1,1,1,1,True
