gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1024,1024,8192,21,0,15.3762,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,1117.3,681.95,0.0
gfx950,256,2048,1024,8192,29,0,19.3716,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1773.72,866.07,0.0
gfx950,256,3072,1024,8192,37,0,24.1531,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,2133.87,955.1,0.0
gfx950,256,8192,1024,1024,13,0,13.0251,a4w4_blockscale_256x96x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,1318.98,1650.34,0.0
gfx950,256,8192,1024,2048,43,0,18.169,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x256E,1891.12,1442.81,0.0
gfx950,256,8192,1024,4096,43,0,25.9739,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x256E,2645.71,1372.59,0.0
gfx950,256,1024,2048,8192,29,0,19.0642,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,1802.32,880.04,0.0
gfx950,256,8192,2048,1024,45,0,19.6955,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,1744.55,1969.86,0.0
gfx950,256,1024,3072,8192,42,0,25.0046,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x128E,2061.21,922.58,0.0
gfx950,256,8192,3072,1024,34,0,31.6002,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x768E,1630.99,1775.27,0.0
gfx950,256,8192,4096,1024,45,0,35.6798,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,1926.01,2057.2,0.0
gfx950,256,8192,4096,12288,54,0,199.0965,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4141.88,716.27,0.0
gfx950,256,4096,12288,8192,54,0,206.1792,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3999.6,813.72,0.0
