Qwen3 FP8 blockwise2d profile, steps 12-15

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       FullyShardedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        6.454s        50.65%        6.454s      43.608ms           148  
                         aiter::gemm_a8w8_blockscale_ck         0.33%      40.623ms         0.51%      62.067ms      20.471us        4.696s        36.85%        4.696s       1.549ms          3032  
_ZN2ck27kernel_gemm_xdl_cshuffle_v3INS_42GridwiseGem...         0.00%       0.000us         0.00%       0.000us       0.000us        4.567s        35.84%        4.567s       1.508ms          3028  
                                            aten::copy_         0.54%      65.534ms         1.26%     154.158ms       8.119us        2.934s        23.03%        2.934s     154.506us         18988  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us        1.960s        15.38%        1.960s     387.599us          5056  
                                     record_param_comms         0.23%      28.152ms         0.34%      41.094ms      93.395us        1.706s        13.39%        1.706s       3.877ms           440  
void rcclGenericKernel<4, false>(ncclDevKernelArgsSt...         0.00%       0.000us         0.00%       0.000us       0.000us        1.706s        13.39%        1.706s       3.877ms           440  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us        1.370s        10.76%        1.370s       4.693ms           292  
                        QuantizedLinearFunctionBackward         2.34%     285.433ms         6.36%     776.529ms     767.321us        1.020s         8.01%        4.499s       4.446ms          1012  
_gemm_a8w8_blockscale_kernel_GROUP_K_128_GROUP_N_1_B...         0.00%       0.000us         0.00%       0.000us       0.000us     724.620ms         5.69%     724.620ms       1.677ms           432  
           FullyShardedDataParallel._post_backward_hook         0.00%       0.000us         0.00%       0.000us       0.000us     655.098ms         5.14%     655.098ms       4.549ms           144  
                        aten::_flash_attention_backward         0.03%       3.516ms         0.08%       9.785ms      67.953us     488.753ms         3.84%     488.753ms       3.394ms           144  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     394.852ms         3.10%     394.852ms     101.348us          3896  
                                              aten::mul         0.99%     120.870ms         1.50%     183.388ms      13.931us     372.572ms         2.92%     372.572ms      28.302us         13164  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     353.046ms         2.77%     353.046ms     186.599us          1892  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us     334.728ms         2.63%     334.728ms       2.325ms           144  
                                       bwd_kernel_dk_dv         0.00%       0.000us         0.00%       0.000us       0.000us     285.105ms         2.24%     285.105ms       1.980ms           144  
