Qwen3 FP8 blockwise2d profile, steps 12-15

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       FullyShardedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        5.733s        47.90%        5.733s      38.738ms           148  
                         aiter::gemm_a8w8_blockscale_ck         0.36%      41.494ms         0.53%      61.867ms      20.405us        4.540s        37.93%        4.540s       1.497ms          3032  
_ZN2ck27kernel_gemm_xdl_cshuffle_v3INS_42GridwiseGem...         0.00%       0.000us         0.00%       0.000us       0.000us        4.411s        36.86%        4.411s       1.457ms          3028  
                                            aten::copy_         0.56%      65.426ms         1.26%     147.165ms       7.750us        2.933s        24.50%        2.933s     154.443us         18988  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us        1.959s        16.37%        1.959s     387.494us          5056  
                                     record_param_comms         0.24%      27.344ms         0.33%      38.920ms      88.455us        1.105s         9.23%        1.105s       2.511ms           440  
void rcclGenericKernel<4, false>(ncclDevKernelArgsSt...         0.00%       0.000us         0.00%       0.000us       0.000us        1.105s         9.23%        1.105s       2.511ms           440  
                        QuantizedLinearFunctionBackward         2.44%     283.709ms         6.58%     765.088ms     756.016us        1.020s         8.52%        4.497s       4.444ms          1012  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us     764.238ms         6.39%     764.238ms       2.617ms           292  
_gemm_a8w8_blockscale_kernel_GROUP_K_128_GROUP_N_1_B...         0.00%       0.000us         0.00%       0.000us       0.000us     724.480ms         6.05%     724.480ms       1.677ms           432  
           FullyShardedDataParallel._post_backward_hook         0.00%       0.000us         0.00%       0.000us       0.000us     662.501ms         5.54%     662.501ms       4.601ms           144  
                        aten::_flash_attention_backward         0.03%       3.513ms         0.08%       9.389ms      65.199us     488.520ms         4.08%     488.520ms       3.392ms           144  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     395.265ms         3.30%     395.265ms     101.454us          3896  
                                              aten::mul         1.03%     120.109ms         1.53%     178.218ms      13.538us     371.695ms         3.11%     371.726ms      28.238us         13164  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     352.706ms         2.95%     352.706ms     186.420us          1892  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us     340.587ms         2.85%     340.587ms       2.365ms           144  
                                       bwd_kernel_dk_dv         0.00%       0.000us         0.00%       0.000us       0.000us     284.795ms         2.38%     284.795ms       1.978ms           144  
