Qwen3 FP8 blockwise2d profile, steps 12-13

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       FullyShardedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        1.253s        46.91%        1.253s      16.930ms            74  
             aiter::gemm_a8w8_blockscale_bpreshuffle_ck         1.04%      19.253ms         1.55%      28.539ms      28.200us     792.737ms        29.68%     792.737ms     783.337us          1012  
void ck::kernel_gemm_xdl_cshuffle_v3_multi_d_blocksc...         0.00%       0.000us         0.00%       0.000us       0.000us     771.851ms        28.90%     771.851ms     764.209us          1010  
           FullyShardedDataParallel._post_backward_hook         0.00%       0.000us         0.00%       0.000us       0.000us     517.019ms        19.36%     517.019ms       7.181ms            72  
                                     record_param_comms         0.45%       8.246ms         0.55%      10.083ms      68.126us     515.815ms        19.31%     515.815ms       3.485ms           148  
void rcclGenericKernel<4, false>(ncclDevKernelArgsSt...         0.00%       0.000us         0.00%       0.000us       0.000us     515.815ms        19.31%     515.815ms       3.485ms           148  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us     289.523ms        10.84%     289.523ms       4.021ms            72  
                        aten::_flash_attention_backward         0.10%       1.884ms         0.28%       5.258ms      73.030us     267.543ms        10.02%     267.543ms       3.716ms            72  
                                            aten::copy_         0.73%      13.462ms         4.03%      74.466ms      20.906us     246.921ms         9.25%     246.996ms      69.342us          3562  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us     222.402ms         8.33%     222.402ms       3.005ms            74  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     191.428ms         7.17%     191.428ms     291.811us           656  
                                              aten::mul         1.63%      30.113ms         3.18%      58.632ms      12.491us     160.113ms         6.00%     160.113ms      34.110us          4694  
                                       bwd_kernel_dk_dv         0.00%       0.000us         0.00%       0.000us       0.000us     159.598ms         5.98%     159.598ms       2.217ms            72  
                                               aten::mm         5.52%     101.827ms        18.49%     341.260ms     112.851us     152.765ms         5.72%     152.765ms      50.518us          3024  
                                          bwd_kernel_dq         0.00%       0.000us         0.00%       0.000us       0.000us     106.533ms         3.99%     106.533ms       1.480ms            72  
                                              aten::cat         0.20%       3.614ms         0.32%       5.929ms      16.288us      84.484ms         3.16%      84.484ms     232.099us           364  
                         aten::_flash_attention_forward         0.07%       1.337ms         0.23%       4.234ms      58.811us      81.622ms         3.06%      82.100ms       1.140ms            72  
                                               attn_fwd         0.00%       0.000us         0.00%       0.000us       0.000us      81.622ms         3.06%      81.622ms       1.134ms            72  
