Qwen3 FP8 blockwise2d profile, steps 12-13

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       FullyShardedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        2.807s        64.86%        2.807s      37.928ms            74  
                         aiter::gemm_a8w8_blockscale_ck         0.43%      13.229ms         0.64%      19.889ms      19.654us        2.190s        50.60%        2.190s       2.164ms          1012  
_ZN2ck27kernel_gemm_xdl_cshuffle_v3INS_42GridwiseGem...         0.00%       0.000us         0.00%       0.000us       0.000us        2.126s        49.12%        2.126s       2.105ms          1010  
                                     record_param_comms         0.39%      12.219ms         0.51%      15.933ms      72.425us     892.248ms        20.62%     892.248ms       4.056ms           220  
void rcclGenericKernel<4, false>(ncclDevKernelArgsSt...         0.00%       0.000us         0.00%       0.000us       0.000us     892.248ms        20.62%     892.248ms       4.056ms           220  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us     677.899ms        15.66%     677.899ms       4.643ms           146  
           FullyShardedDataParallel._post_backward_hook         0.00%       0.000us         0.00%       0.000us       0.000us     442.086ms        10.22%     442.086ms       6.140ms            72  
                        aten::_flash_attention_backward         0.05%       1.680ms         0.17%       5.206ms      72.299us     237.688ms         5.49%     237.688ms       3.301ms            72  
                                            aten::copy_         0.29%       8.972ms         3.11%      96.310ms      37.769us     231.606ms         5.35%     231.606ms      90.826us          2550  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us     214.220ms         4.95%     214.220ms       2.975ms            72  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     188.735ms         4.36%     188.735ms     287.705us           656  
                                              aten::mul         1.04%      32.100ms        14.81%     458.415ms      97.660us     152.881ms         3.53%     157.336ms      33.519us          4694  
                                       bwd_kernel_dk_dv         0.00%       0.000us         0.00%       0.000us       0.000us     137.672ms         3.18%     137.672ms       1.912ms            72  
                                               aten::mm         3.22%      99.584ms         7.50%     232.359ms      76.838us     130.356ms         3.01%     130.356ms      43.107us          3024  
                                          bwd_kernel_dq         0.00%       0.000us         0.00%       0.000us       0.000us      98.721ms         2.28%      98.721ms       1.371ms            72  
                     hipThreadExchangeStreamCaptureMode         0.01%     271.063us         0.01%     273.746us       0.171us      92.294ms         2.13%      92.294ms      57.683us          1600  
                                              aten::cat         0.13%       3.897ms         5.70%     176.495ms     484.876us      81.393ms         1.88%      81.428ms     223.702us           364  
                         aten::_flash_attention_forward         0.04%       1.340ms         0.14%       4.417ms      61.354us      75.012ms         1.73%      75.473ms       1.048ms            72  
