Qwen3 FP8 blockwise2d profile, steps 12-13

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       FullyShardedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        2.753s        67.33%        2.753s      37.199ms            74  
                         aiter::gemm_a8w8_blockscale_ck         0.46%      13.858ms         0.66%      19.802ms      19.568us        2.119s        51.82%        2.119s       2.093ms          1012  
_ZN2ck27kernel_gemm_xdl_cshuffle_v3INS_42GridwiseGem...         0.00%       0.000us         0.00%       0.000us       0.000us        2.054s        50.25%        2.054s       2.034ms          1010  
                                     record_param_comms         0.26%       7.840ms         0.32%       9.516ms      64.295us     756.876ms        18.51%     756.876ms       5.114ms           148  
void rcclGenericKernel<4, false>(ncclDevKernelArgsSt...         0.00%       0.000us         0.00%       0.000us       0.000us     756.876ms        18.51%     756.876ms       5.114ms           148  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us     559.077ms        13.67%     559.077ms       7.555ms            74  
           FullyShardedDataParallel._post_backward_hook         0.00%       0.000us         0.00%       0.000us       0.000us     422.116ms        10.32%     422.116ms       5.863ms            72  
                        aten::_flash_attention_backward         0.06%       1.719ms         0.16%       4.929ms      68.464us     237.781ms         5.82%     237.781ms       3.303ms            72  
                                            aten::copy_         0.29%       8.795ms         3.18%      95.545ms      37.469us     229.919ms         5.62%     229.919ms      90.164us          2550  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us     196.740ms         4.81%     196.740ms       2.732ms            72  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     187.500ms         4.59%     187.500ms     285.823us           656  
                                              aten::mul         0.98%      29.542ms        14.99%     449.865ms      95.838us     140.137ms         3.43%     141.390ms      30.121us          4694  
                                       bwd_kernel_dk_dv         0.00%       0.000us         0.00%       0.000us       0.000us     137.731ms         3.37%     137.731ms       1.913ms            72  
                                        hipEventDestroy         0.02%     732.186us         0.02%     732.186us       0.437us     125.911ms         3.08%     125.911ms      75.216us          1674  
                                               aten::mm         3.07%      92.253ms         7.59%     227.813ms      75.335us     118.653ms         2.90%     119.392ms      39.482us          3024  
                                          bwd_kernel_dq         0.00%       0.000us         0.00%       0.000us       0.000us      98.768ms         2.42%      98.768ms       1.372ms            72  
                                              aten::cat         0.12%       3.624ms         6.73%     201.844ms     554.517us      80.989ms         1.98%      83.130ms     228.380us           364  
                         aten::_flash_attention_forward         0.04%       1.227ms         0.13%       4.019ms      55.818us      75.532ms         1.85%      76.001ms       1.056ms            72  
