Qwen3 FP8 blockwise2d profile, steps 12-14

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       FullyShardedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        5.640s        55.19%        5.640s      50.815ms           111  
                         aiter::gemm_a8w8_blockscale_ck         0.33%      30.268ms         0.49%      45.381ms      19.957us        4.083s        39.95%        4.083s       1.795ms          2274  
_ZN2ck27kernel_gemm_xdl_cshuffle_v3INS_42GridwiseGem...         0.00%       0.000us         0.00%       0.000us       0.000us        3.986s        39.00%        3.986s       1.755ms          2271  
                                     record_param_comms         0.21%      19.722ms         0.32%      29.489ms      89.359us        2.611s        25.55%        2.611s       7.912ms           330  
void rcclGenericKernel<4, false>(ncclDevKernelArgsSt...         0.00%       0.000us         0.00%       0.000us       0.000us        2.611s        25.55%        2.611s       7.912ms           330  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us        1.809s        17.70%        1.809s       8.260ms           219  
           FullyShardedDataParallel._post_backward_hook         0.00%       0.000us         0.00%       0.000us       0.000us        1.044s        10.22%        1.044s       9.670ms           108  
                                            aten::copy_         0.39%      36.011ms         0.85%      77.880ms       8.035us     980.287ms         9.59%     980.287ms     101.133us          9693  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us     801.879ms         7.85%     801.879ms       7.425ms           108  
                        QuantizedLinearFunctionBackward         3.52%     323.907ms         7.43%     683.851ms     900.990us     765.211ms         7.49%        2.609s       3.437ms           759  
_gemm_a8w8_blockscale_kernel_GROUP_K_128_GROUP_N_1_B...         0.00%       0.000us         0.00%       0.000us       0.000us     543.590ms         5.32%     543.590ms       1.678ms           324  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     483.622ms         4.73%     483.622ms     318.591us          1518  
                        aten::_flash_attention_backward         0.03%       2.593ms         0.08%       7.273ms      67.345us     365.853ms         3.58%     365.853ms       3.388ms           108  
                                              aten::mul         4.25%     390.783ms         4.72%     434.133ms      43.972us     281.799ms         2.76%     281.863ms      28.549us          9873  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     265.977ms         2.60%     265.977ms     187.440us          1419  
                         aten::_flash_attention_forward         0.04%       3.984ms         0.15%      13.411ms      62.087us     229.200ms         2.24%     230.583ms       1.068ms           216  
                                               attn_fwd         0.00%       0.000us         0.00%       0.000us       0.000us     229.200ms         2.24%     229.200ms       1.061ms           216  
                                       bwd_kernel_dk_dv         0.00%       0.000us         0.00%       0.000us       0.000us     213.788ms         2.09%     213.788ms       1.980ms           108  
